[[0 1 1 1 2 0 2 0 2]],5,1,[[0 1 1 1 2 1 2 0 2]]
[[0 1 1 1 2 0 2 0 2]],5,-20,[[0 1 1 1 2 1 2 2 2]]
[[0 0 0 0 0 0 0 0 0]],5,1,[[0 0 0 0 0 1 0 0 0]]
[[0 0 0 0 0 1 0 0 2]],4,1,[[0 0 0 0 1 1 0 0 2]]
[[0 0 0 0 1 1 0 2 2]],1,1,[[0 1 0 0 1 1 0 2 2]]
[[0 1 2 0 1 1 0 2 2]],2,-20,[[0 1 1 0 1 1 0 2 2]]
[[0 0 0 0 0 0 0 0 0]],6,1,[[0 0 0 0 0 0 1 0 0]]
[[0 0 0 0 0 2 1 0 0]],8,1,[[0 0 0 0 0 2 1 0 1]]
[[0 0 2 0 0 2 1 0 1]],3,1,[[0 0 2 1 0 2 1 0 1]]
[[0 0 2 1 2 2 1 0 1]],0,15,[[1 0 2 1 2 2 1 0 1]]
[[0 0 0 0 0 0 0 0 0]],5,1,[[0 0 0 0 0 1 0 0 0]]
[[0 0 2 0 0 1 0 0 0]],4,1,[[0 0 2 0 1 1 0 0 0]]
[[0 0 2 0 1 1 2 0 0]],7,1,[[0 0 2 0 1 1 2 1 0]]
[[0 0 2 0 1 1 2 1 2]],3,15,[[0 0 2 1 1 1 2 1 2]]
[[0 0 0 0 0 0 0 0 0]],3,1,[[0 0 0 1 0 0 0 0 0]]
[[0 0 2 1 0 0 0 0 0]],1,1,[[0 1 2 1 0 0 0 0 0]]
[[0 1 2 1 2 0 0 0 0]],1,-20,[[0 1 2 1 2 0 0 0 0]]
[[0 0 0 0 0 0 0 0 0]],6,1,[[0 0 0 0 0 0 1 0 0]]
[[0 0 0 0 0 0 1 0 2]],5,1,[[0 0 0 0 0 1 1 0 2]]
[[2 0 0 0 0 1 1 0 2]],0,-20,[[1 0 0 0 0 1 1 0 2]]
[[0 0 0 0 0 0 0 0 0]],5,1,[[0 0 0 0 0 1 0 0 0]]
[[0 0 0 2 0 1 0 0 0]],2,1,[[0 0 1 2 0 1 0 0 0]]
